,GeneID,Essential,Class,Complex,Phenotype,Motif,Chromosome,Function,Localization,add_numerical
62,AAAAI,Non-Essential,Cyclins,RSC complex (Remodel the structure of chromatin),?,PS00824,15,PROTEIN SYNTHESIS,cytoplasm,15
63,AAAAI,Non-Essential,Transcription factors,RSC complex (Remodel the structure of chromatin),?,PS00824,15,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,15
64,AAAAJ,Essential,?,Nucleosomal protein complex,Conditional phenotypes,PS00637,6,PROTEIN DESTINATION,nucleus,6
65,AAAAJ,Essential,?,Nucleosomal protein complex,Conditional phenotypes,PS00636,6,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,plasma membrane,6
66,AAAAK,Essential,?,Translation complexes,Cell cycle defects,PS00973,2,PROTEIN SYNTHESIS,cytoplasm,2
67,AAAAK,Essential,?,Translation complexes,Cell morphology and organelle mutants,PS00973,2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,2
68,AAAAL,Essential,?,Translocon,?,PS00019,16,PROTEIN SYNTHESIS,ER,16
69,AAAAL,Essential,?,Translocon,?,PS00019,16,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,ER,16
70,AAAAM,Non-Essential,Molecular chaperones,Calcineurin B,Cell morphology and organelle mutants,PS01175,12,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,12
71,AAAAM,Non-Essential,Molecular chaperones,Calcineurin B,Cell morphology and organelle mutants,PS00690,12,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,12
72,AAAAM,Non-Essential,ATPases,Calcineurin B,Cell cycle defects,PS01175,12,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,12
73,AAAAM,Non-Essential,ATPases,Calcineurin B,Cell morphology and organelle mutants,PS01175,12,METABOLISM,cytoskeleton,12
74,AAAAM,Non-Essential,Molecular chaperones,Calcineurin B,Cell cycle defects,PS01175,12,PROTEIN SYNTHESIS,cytoskeleton,12
75,AAAAM,Non-Essential,Molecular chaperones,Calcineurin B,Cell morphology and organelle mutants,PS01175,12,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,12
76,AAAAM,Non-Essential,Molecular chaperones,Calcineurin B,Cell morphology and organelle mutants,PS00690,12,PROTEIN SYNTHESIS,cytoskeleton,12
77,AAAAM,Non-Essential,Molecular chaperones,Calcineurin B,Cell morphology and organelle mutants,PS00690,12,PROTEIN SYNTHESIS,cytoskeleton,12
78,AAAAM,Non-Essential,Molecular chaperones,Calcineurin B,Cell morphology and organelle mutants,PS00690,12,PROTEIN SYNTHESIS,cytoskeleton,12
79,AAAAM,Non-Essential,ATPases,Calcineurin B,Conditional phenotypes,PS01175,12,METABOLISM,nucleus,12
80,AAAAN,?,?,RNA processing complexes,Mating and sporulation defects,,9,PROTEIN SYNTHESIS,cytoskeleton,9
81,AAAAN,?,?,RNA processing complexes,Mating and sporulation defects,,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
82,AAAAO,Essential,?,?,Mating and sporulation defects,PS00752,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),,11
83,AAAAO,Essential,?,?,Cell morphology and organelle mutants,PS00752,11,PROTEIN SYNTHESIS,,11
84,AAAAO,Essential,?,?,Mating and sporulation defects,PS00752,11,PROTEIN SYNTHESIS,,11
85,AAAAO,Essential,?,?,Cell cycle defects,PS00752,11,PROTEIN SYNTHESIS,,11
86,AAAAO,Essential,?,?,Mating and sporulation defects,PS00752,11,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,,11
87,AAAAO,Essential,?,?,Cell cycle defects,PS00752,11,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,,11
88,AAAAO,Essential,?,?,Mating and sporulation defects,PS00752,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),,11
89,AAAAO,Essential,?,?,Mating and sporulation defects,PS00752,11,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",,11
90,AAAAP,Essential,?,Casein kinase,Nucleic acid metabolism defects,PS00959,13,METABOLISM,mitochondria,13
91,AAAAP,Non-Essential,?,Casein kinase,Mating and sporulation defects,PS00674,13,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,mitochondria,13
92,AAAAP,Essential,?,Casein kinase,Conditional phenotypes,PS00225,13,METABOLISM,mitochondria,13
93,AAAAP,Essential,?,Casein kinase,Cell morphology and organelle mutants,PS00627,13,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",mitochondria,13
94,AAAAP,Essential,?,Casein kinase,Stress response defects,PS00627,13,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",mitochondria,13
95,AAAAP,Non-Essential,?,Casein kinase,Mating and sporulation defects,PS00554,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,13
96,AAAAP,Essential,?,Casein kinase,Mating and sporulation defects,PS00627,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,13
97,AAAAP,Non-Essential,?,Casein kinase,Mating and sporulation defects,PS00225,13,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,mitochondria,13
98,AAAAP,Essential,?,Casein kinase,Conditional phenotypes,PS00627,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,13
99,AAAAP,Essential,?,Casein kinase,Mating and sporulation defects,PS00627,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),mitochondria,13
100,AAAAQ,?,Other kinases,Translation complexes,?,PS00340,10,PROTEIN SYNTHESIS,cytoplasm,10
101,AAAAQ,?,Other kinases,Translation complexes,?,PS01145,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,10
102,AAAAQ,?,Other kinases,Translation complexes,?,PS00343,10,PROTEIN SYNTHESIS,cytoplasm,10
103,AAAAQ,?,Other kinases,Translation complexes,?,PS00200,10,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,10
104,AAAAR,Non-Essential,?,Transcription complexes/Transcriptosome,Conditional phenotypes,PS00179,11,PROTEIN SYNTHESIS,cytoskeleton,11
105,AAAAR,Non-Essential,?,Transcription complexes/Transcriptosome,?,PS00842,11,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,11
106,AAAAS,Essential,Protein Kinases,Translation complexes,Mating and sporulation defects,,16,PROTEIN SYNTHESIS,nucleus,16
107,AAAAS,Essential,Major facilitator superfamily proteins (MFS),Translation complexes,Mating and sporulation defects,,16,METABOLISM,plasma membrane,16
108,AAAAS,Essential,Major facilitator superfamily proteins (MFS),Translation complexes,Mating and sporulation defects,,16,PROTEIN SYNTHESIS,nucleus,16
109,AAAAS,Essential,Major facilitator superfamily proteins (MFS),Translation complexes,Mating and sporulation defects,,16,PROTEIN SYNTHESIS,nucleus,16
110,AAAAS,Essential,Major facilitator superfamily proteins (MFS),Translation complexes,Mating and sporulation defects,,16,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,plasma membrane,16
111,AAAAS,Essential,Major facilitator superfamily proteins (MFS),Translation complexes,Mating and sporulation defects,,16,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,16
112,AAAAT,Essential,Unknown,Cyclin-CDK (Cyclin-dependent kinases) complexes,?,PS00822,8,IONIC HOMEOSTASIS,mitochondria,8
113,AAAAT,Essential,Nucleases,Cyclin-CDK (Cyclin-dependent kinases) complexes,Cell cycle defects,PS00821,8,TRANSPORT FACILITATION,mitochondria,8
114,AAAAU,Essential,?,Intracellular transport complexes,?,PS00824,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER,8
115,AAAAU,Essential,?,Intracellular transport complexes,Mating and sporulation defects,PS00824,8,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,ER,8
116,AAAAU,Essential,?,Intracellular transport complexes,?,PS00824,8,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",ER,8
117,AAAAU,Essential,?,Intracellular transport complexes,?,PS00824,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER,8
118,AAAAU,Essential,?,Intracellular transport complexes,?,PS00824,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER,8
119,AAAAU,Essential,?,Intracellular transport complexes,?,PS00824,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER,8
120,AAAAV,Essential,?,,Mating and sporulation defects,?,0,ENERGY,mitochondria,0
121,AAAAV,Essential,?,,Mating and sporulation defects,PS00824,0,PROTEIN SYNTHESIS,mitochondria,0
122,AAAAV,Non-Essential,?,,?,PS00824,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",plasma membrane,0
123,AAAAV,Essential,?,,?,PS00824,0,ENERGY,mitochondria,0
124,AAAAW,?,Major facilitator superfamily proteins (MFS),,?,PS01132,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,11
125,AAAAW,?,Major facilitator superfamily proteins (MFS),,?,PS01132,11,PROTEIN SYNTHESIS,plasma membrane,11
126,AAAAX,Essential,?,Respiration chain complexes,Stress response defects,PS00017,5,PROTEIN SYNTHESIS,cytoplasm,5
127,AAAAX,Essential,?,Respiration chain complexes,Conditional phenotypes,PS00463,5,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,5
128,AAAAX,Essential,?,Respiration chain complexes,Stress response defects,PS00013,5,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,5
129,AAAAX,Essential,?,Nucleosomal protein complex,Conditional phenotypes,PS00741,5,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,5
130,AAAAY,Non-Essential,GTP/GDP-exchange factors (GEFs),,?,,2,PROTEIN DESTINATION,nucleus,2
131,AAAAY,Non-Essential,GTP/GDP-exchange factors (GEFs),,?,,2,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,nucleus,2
132,AAAAY,Non-Essential,GTP/GDP-exchange factors (GEFs),,?,,2,PROTEIN DESTINATION,nucleus,2
133,AAAAZ,Non-Essential,?,Translation complexes,Mating and sporulation defects,PS00824,13,PROTEIN SYNTHESIS,cytoplasm,13
134,AAAAZ,Non-Essential,?,Translation complexes,?,PS00824,13,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,13
135,AAAAZ,Non-Essential,?,Translation complexes,?,PS00824,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,13
136,AAAAZ,Non-Essential,?,Translation complexes,Mating and sporulation defects,PS00824,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,13
137,AAAAZ,Non-Essential,?,Translation complexes,?,PS00824,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,13
138,AAAAZ,Non-Essential,?,Translation complexes,Mating and sporulation defects,PS00824,13,PROTEIN SYNTHESIS,cytoplasm,13
139,AAAAZ,Non-Essential,?,Translation complexes,?,PS00824,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,13
140,AAAAZ,Non-Essential,?,Translation complexes,Mating and sporulation defects,PS00824,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,13
141,AAAAa,Essential,Peptidyl-Prolyl-Isomerases,Transcription complexes/Transcriptosome,Carbohydrate and lipid biosynthesis defects,PS00402,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,6
142,AAAAa,Essential,Peptidyl-Prolyl-Isomerases,Transcription complexes/Transcriptosome,Stress response defects,PS00402,6,PROTEIN SYNTHESIS,nucleus,6
143,AAAAa,Essential,Peptidyl-Prolyl-Isomerases,Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,PS00402,6,METABOLISM,nucleus,6
144,AAAAa,Essential,Peptidyl-Prolyl-Isomerases,Transcription complexes/Transcriptosome,Carbohydrate and lipid biosynthesis defects,PS00402,6,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,6
145,AAAAa,Essential,Peptidyl-Prolyl-Isomerases,Transcription complexes/Transcriptosome,Stress response defects,PS00402,6,METABOLISM,nucleus,6
146,AAAAb,Non-Essential,ATPases,Nucleosomal protein complex,?,PS00443,12,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,12
147,AAAAb,Non-Essential,ATPases,Nucleosomal protein complex,?,PS00443,12,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,12
148,AAAAb,Non-Essential,ATPases,Nucleosomal protein complex,?,PS00443,12,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,12
149,AAAAc,?,?,Replication complexes,?,PS00564,8,PROTEIN SYNTHESIS,cytoplasm,8
150,AAAAc,?,?,Replication complexes,?,PS00564,8,PROTEIN SYNTHESIS,cytoplasm,8
151,AAAAc,?,?,Replication complexes,?,PS00564,8,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,8
152,AAAAc,?,?,Replication complexes,?,PS00564,8,PROTEIN DESTINATION,cytoplasm,8
153,AAAAd,Non-Essential,Ubiquitin-system proteins,Intracellular transport complexes,?,PS00300,15,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,vacuole,15
154,AAAAd,Non-Essential,GTP-binding proteins,Intracellular transport complexes,?,PS00300,15,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,vacuole,15
155,AAAAd,Non-Essential,GTP-binding proteins,Intracellular transport complexes,?,PS00300,15,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",vacuole,15
156,AAAAe,Non-Essential,Proteases,Translation complexes,?,PS00959,1,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,golgi,1
157,AAAAe,Non-Essential,Tubulins,Translation complexes,Cell morphology and organelle mutants,PS00674,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),ER,1
158,AAAAf,Essential,Cyclins,Pyruvate kinase,Mating and sporulation defects,PS00014,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,1
159,AAAAf,Essential,Cyclins,Pyruvate kinase,Mating and sporulation defects,PS00014,1,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,plasma membrane,1
160,AAAAf,Essential,Cyclins,Pyruvate kinase,Mating and sporulation defects,PS00014,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,1
161,AAAAf,Essential,Cyclins,Pyruvate kinase,Mating and sporulation defects,PS00014,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,1
162,AAAAf,Essential,Transcription factors,Pyruvate kinase,Mating and sporulation defects,PS00014,1,METABOLISM,plasma membrane,1
163,AAAAf,Essential,Transcription factors,Pyruvate kinase,Carbohydrate and lipid biosynthesis defects,PS00014,1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",plasma membrane,1
164,AAAAf,Essential,Cyclins,Pyruvate kinase,Mating and sporulation defects,PS00014,1,PROTEIN SYNTHESIS,plasma membrane,1
165,AAAAf,Essential,Transcription factors,Pyruvate kinase,"Auxotrophies, carbon and",PS00046,1,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,plasma membrane,1
166,AAAAf,Essential,Cyclins,Pyruvate kinase,Mating and sporulation defects,PS00014,1,METABOLISM,plasma membrane,1
167,AAAAf,Essential,Cyclins,Pyruvate kinase,Mating and sporulation defects,PS00014,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,1
168,AAAAf,Essential,Cyclins,Pyruvate kinase,Mating and sporulation defects,PS00014,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,1
169,AAAAf,Essential,Cyclins,Pyruvate kinase,Carbohydrate and lipid biosynthesis defects,PS00014,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,1
170,AAAAf,Essential,Cyclins,Pyruvate kinase,Stress response defects,PS00014,1,PROTEIN SYNTHESIS,plasma membrane,1
171,AAAAg,Non-Essential,GTP/GDP-exchange factors (GEFs),Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,PS00824,8,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",ER,8
172,AAAAg,Non-Essential,GTP/GDP-exchange factors (GEFs),Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,PS00824,8,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",ER,8
173,AAAAg,Non-Essential,GTP/GDP-exchange factors (GEFs),Transcription complexes/Transcriptosome,Nucleic acid metabolism defects,PS00824,8,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",ER,8
174,AAAAh,Essential,?,Proteasome,Cell morphology and organelle mutants,PS00824,1,TRANSCRIPTION,nucleus,1
175,AAAAh,Essential,?,Proteasome,Cell morphology and organelle mutants,PS00824,1,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,nucleus,1
176,AAAAh,Essential,?,Proteasome,Stress response defects,PS00824,1,IONIC HOMEOSTASIS,plasma membrane,1
177,AAAAh,Essential,?,Proteasome,Cell morphology and organelle mutants,PS00824,1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,1
178,AAAAh,Essential,?,Proteasome,Cell morphology and organelle mutants,PS00824,1,PROTEIN DESTINATION,nucleus,1
179,AAAAi,Non-Essential,Histones,?,?,PS00867,11,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",plasma membrane,11
180,AAAAi,Non-Essential,Other kinases,?,?,PS00751,11,PROTEIN DESTINATION,plasma membrane,11
181,AAAAi,Non-Essential,Histones,?,?,PS00344,11,PROTEIN DESTINATION,plasma membrane,11
