,GeneID,Localization,sum(Expression_Corr),max(Expression_Corr),min(Expression_Corr),nb_rows_in_Genes,nb_rows_in_Interactions
45,AAAAt,plasma membrane,2.0103213432271714,0.12087998928277854,0.020859929640274055,14,1.0
46,AAAAu,cytoskeleton,-0.5503129549999916,-0.2423000742128011,-0.1763611068541835,3,1.0
47,AAAAv,cytoplasm,-0.5503129550000001,-0.6599398785449294,0.188973429950686,3,1.0
48,AAAAw,ER,-0.13970845536688004,0.8052513467109854,0.20457797438924574,7,1.0
49,AAAAx,golgi,-0.48402213203849115,0.9091497457209474,0.12439246280862903,3,3.0
50,AAAAy,cytoskeleton,-0.5503129549983697,0.2631050430413193,-0.16338601666998476,1,1.0
51,AAAAz,plasma membrane,-0.45827695353849807,0.34141124577485393,0.6370801749290229,1,1.0
52,AAABA,extracellular,-0.5503129550000001,-0.5168314362642368,-0.07537233813452704,2,1.0
53,AAABB,cytoskeleton,3.3298796629364036,0.4311519995971862,0.01427004079429417,3,1.0
54,AAABC,mitochondria,-0.5503129549999912,0.17995280050404672,0.11284777639318988,7,1.0
55,AAABD,plasma membrane,-0.5503129550000001,0.905502504168797,-0.041022988144416406,1,5.0
56,AAABE,plasma membrane,-0.5503129550000001,0.2078796891132535,0.3299466896547605,2,1.0
57,AAABF,plasma membrane,-0.5503129237142673,-0.48799151130728546,0.05552880059841003,8,1.0
58,AAABG,vacuole,-0.5503129549999982,0.8229368542303208,0.019205831822836306,2,2.0
59,AAABH,cytoskeleton,-0.5296899594949885,0.7855164327906878,0.23368945105934413,6,5.0
60,AAABI,cytoskeleton,-0.07037193918350859,0.6229988040893422,0.17360200180070162,4,1.0
61,AAABJ,cytoplasm,-0.5503129550000001,0.8360578111296582,0.28786323000639147,1,3.0
62,AAABK,mitochondria,-0.5503129550000001,0.05993938641862717,-0.11219350420720375,1,1.0
63,AAABL,plasma membrane,0.5032990904366728,-0.1542963714618356,0.0059984685908618385,2,1.0
64,AAABM,nucleus,-0.5503129549999183,0.23482974790378264,0.1878563824432664,1,1.0
65,AAABN,plasma membrane,-0.5503129549999646,0.7616461779722943,0.3254503182052373,1,1.0
66,AAABO,nucleus,-0.31021284471442667,0.988813315799892,0.7806771846611111,4,1.0
67,AAABP,vacuole,-0.43554645768162426,0.0022026685569250803,0.6050479906439841,1,1.0
68,AAABQ,cytoplasm,-0.5503129549820572,0.6561155349484664,-0.5647655612056346,5,7.0
69,AAABR,ER,1.6426412018693377,0.6826949480735942,0.6003417504070914,1,2.0
70,AAABS,mitochondria,-0.550312955,0.5210230673643295,0.0017658803373175047,3,1.0
71,AAABT,cytoskeleton,-0.5503129337174351,0.253173584880789,-0.46162415699852666,2,1.0
72,AAABU,cytoskeleton,-0.5503129549999958,-0.0032009498059232255,-0.22367319020078136,2,1.0
73,AAABV,cytoplasm,-0.5503129228127883,0.9640311117574019,0.2825173055328305,4,1.0
74,AAABW,cytoplasm,-0.4667745926036062,0.8353103279558773,0.4790446116547802,7,2.0
75,AAABX,nucleus,-0.5502910848789784,0.32356879870963606,-0.2553846919151779,3,1.0
76,AAABY,cytoskeleton,-0.5503123558728144,-0.08043909582598374,0.23209737767689287,1,1.0
77,AAABZ,plasma membrane,-0.5503127877207077,-0.7272193567441821,0.06212828028454176,2,1.0
78,AAABa,cytoskeleton,-0.5503129550000001,0.8171125940049948,0.5349309628836338,3,1.0
79,AAABb,nucleus,-0.06498967623435581,0.43319926691300203,0.5760089207730479,4,1.0
80,AAABc,peroxisome,-0.5369609180475078,-0.6155462991152929,-0.18246302144657434,1,1.0
81,AAABd,cytoskeleton,-0.5503129550000001,0.1130077840820114,-0.043952850835102364,3,1.0
82,AAABe,cytoplasm,-0.5503128510824256,0.598846128172082,0.816713272314908,6,1.0
83,AAABf,vacuole,-0.08349761365108094,0.6266730287401292,-0.22009055682940093,8,1.0
84,AAABg,cytoplasm,-0.5503129543436266,-0.00936899130686375,-0.8070729043237757,8,5.0
85,AAABh,cytoskeleton,-0.548687165859282,0.8039598697671841,-0.17943945540321238,14,2.0
86,AAABi,plasma membrane,-0.36525032006997527,0.16155965487571233,-0.00538105365619912,5,1.0
87,AAABj,plasma membrane,-0.5503118533476321,-0.1370177867072525,-0.11547249846108087,2,2.0
88,AAABk,cytoplasm,-0.5503129550000001,-0.21026282442113575,-0.08373500570029813,3,1.0
89,AAABl,plasma membrane,-0.49413355771049794,0.3950908935189539,0.048508183275803196,2,1.0
90,AAABm,mitochondria,-0.5500996814176321,0.7842669955649639,0.3696658904517731,2,3.0
91,AAABn,plasma membrane,-0.5492771872594086,-0.5224776236933949,-0.13903370865254705,6,1.0
92,AAABo,mitochondria,-0.5503129549999989,0.32118594691368285,-0.03755339062714369,2,1.0
93,AAABp,cytoplasm,-0.5498195052044993,0.7337785354185988,0.8431990087501431,2,1.0
94,AAABq,nucleus,-0.5503129549999995,0.27605811395297697,0.24901813434554843,1,2.0
95,AAABr,transport vesicles,-0.5503106256058506,-0.024857929617705832,0.1930533373679295,2,1.0
96,AAABs,vacuole,-0.5503129469591805,-0.48184010533801874,-0.2194752294090765,2,1.0
97,AAABt,mitochondria,-0.5502933435805062,0.898583302953633,0.13298964749122488,5,2.0
98,AAABu,cytoskeleton,0.15854007795069947,0.7126424585147213,0.6511478987093122,12,1.0
99,AAABv,mitochondria,-0.5503129550000001,-0.067107581586631,-0.6787656802779054,1,1.0
100,AAABw,cytoplasm,-0.5503129550000001,0.0003745191716744145,-0.7177093486235075,7,4.0
101,AAABx,golgi,-0.5503111756520221,0.8441904485645289,-0.3681083244154886,3,4.0
102,AAABy,nucleus,-0.5503129550000001,0.8046886068305898,-0.03539467464977197,16,3.0
103,AAABz,nucleus,6.514582887137636,0.9720845780747946,0.4410194300774135,2,1.0
104,AAACA,golgi,-0.5503122545916884,-0.29224368470170126,0.17022230216793588,11,1.0
105,AAACB,cytoskeleton,-0.550312500860299,0.8712059629150142,0.5834127605262034,11,2.0
106,AAACC,plasma membrane,-0.5503129521344019,-0.01464010646829994,-0.5240560001047316,13,1.0
107,AAACD,nucleus,-0.5503129549997958,0.3705591487839732,-0.23825169941093116,4,1.0
108,AAACE,plasma membrane,-0.5503129550000001,-0.24717817752667115,-0.3398246792301165,7,1.0
109,AAACF,ER,-0.5503129550000001,0.8717067369767668,0.09206377283025091,1,5.0
110,AAACG,cytoplasm,-0.5503126617736753,0.06981677532097563,0.016292032479193974,1,1.0
111,AAACH,cytoplasm,-0.2929603230308533,0.35100230707125113,0.029906550168111945,8,3.0
112,AAACI,cytoplasm,-0.5502872076300069,-0.5702492102204229,-0.1780254684355682,3,1.0
113,AAACJ,cytoplasm,-0.5503129549996492,-0.3829997876411749,-0.6153204151641452,4,1.0
114,AAACK,ER,-0.5500466594193874,0.07271530451509478,-0.16548476398876,16,2.0
115,AAACL,cytoplasm,-0.550312939685743,0.555051786834162,0.030568941982853426,3,2.0
116,AAACM,nucleus,-0.5502871622465422,0.7799377362301569,0.9225212976066652,1,3.0
117,AAACN,cytoplasm,-0.550312954871563,0.6192918098719471,0.8193713128997606,5,1.0
118,AAACO,ER,-0.5503129550000001,-0.6984057542350959,-0.0008577824369795373,10,1.0
119,AAACP,plasma membrane,-0.5503129550000001,0.8051357019606651,0.03422988215166001,4,1.0
120,AAACQ,vacuole,-0.024235168302126242,0.21443877328192662,-0.08138723306946427,2,1.0
121,AAACR,cytoplasm,-0.5503129550000001,0.49315434426055926,-0.21142392761402662,6,2.0
122,AAACS,ER,-0.5503086836641518,0.624397731641448,-0.07360394130652415,16,1.0
123,AAACT,mitochondria,-0.5503117013743115,0.21481891624304295,0.3776282329840286,10,1.0
124,AAACU,cytoplasm,-0.5503129549999665,0.692093835433276,0.4362443549052455,1,2.0
125,AAACV,cytoskeleton,-0.38058358983906737,0.09357623801401749,-0.07441786300851017,2,1.0
126,AAACW,peroxisome,-0.5503087333062551,-0.3971407906608182,0.16443337213930675,11,1.0
127,AAACX,ER,2.1585528577002675,0.2608554894930333,-0.08854051632267446,12,1.0
128,AAACY,plasma membrane,1.1346056523536483,-0.10276916884432241,0.5802684034279029,2,1.0
129,AAACZ,cytoplasm,-0.5503129370148399,-0.0285869591761716,0.3143270436818195,2,1.0
130,AAACa,nucleus,-0.47226681370375434,0.03153477901624602,0.25367019760938936,6,1.0
131,AAACb,cytoplasm,8.141152703,0.9393670267785932,0.8727736841840499,1,1.0
132,AAACc,cytoplasm,-0.4686174723328652,0.5174673440838542,0.3076153064372833,2,2.0
133,AAACd,cytoskeleton,-0.5503129463939229,0.05248568809904919,-0.29030953544010707,17,1.0
134,AAACe,golgi,-0.5503123430080865,-0.07371505959751623,-0.6053984257992011,7,2.0
135,AAACf,cytoplasm,-0.395131521541918,-0.34228188473917465,0.4666199679651073,3,1.0
136,AAACg,cytoskeleton,-0.5503129545129656,-0.6520237379814366,-0.5962789241927631,2,1.0
137,AAACh,cytoskeleton,-0.5503117553453397,0.9058209107191679,0.5071240102733983,1,1.0
138,AAACi,vacuole,-0.5503129550000001,0.03227334890790312,-0.001375291207286189,6,1.0
139,AAACj,nucleus,-0.5503129550000001,0.41834463702345936,-0.3457573971169017,5,3.0
140,AAACk,plasma membrane,-0.0007117657483515227,0.18922066840239804,0.12663637276144968,1,1.0
141,AAACl,cytoplasm,1.0588178633444312,0.39489623218009684,0.23341069569321116,8,1.0
142,AAACm,cytoskeleton,-0.5503129143143644,0.4393216418628285,0.04971279251738636,4,2.0
143,AAACn,nucleus,-0.5503129549999997,-0.5995416130554041,-0.23714417520556497,4,2.0
144,AAACo,vacuole,8.141152703,0.527384931770329,0.3863957629119761,26,1.0
145,AAACp,cytoskeleton,-0.5503129550000001,-0.3802763657174202,-0.45938546584114426,7,1.0
146,AAACq,vacuole,-0.5503129549999167,0.5188841750148856,-0.2257233963774572,2,2.0
147,AAACr,cytoplasm,-0.5502165059452309,0.7034146031749584,1.0,2,1.0
148,AAACs,ER,8.141152703,0.5599414546451484,0.09457530013479687,5,1.0
149,AAACt,cytoskeleton,-0.02034536814133847,-0.21393257728655135,-0.05433458132930569,4,1.0
150,AAACu,cytoskeleton,-0.5503129550000001,0.10694986476140955,-0.22310266873833773,2,1.0
151,AAACv,plasma membrane,-0.5503129550000001,0.7341751821002327,0.1317709475235196,9,1.0
152,AAACw,nucleus,-0.5495828319899898,0.6117376928281415,0.32756171764061603,1,1.0
153,AAACx,nucleus,-0.5503129550000001,0.1612539167414193,-0.25105136072801293,7,1.0
154,AAACy,nucleus,0.6712340963518362,0.8723650370254046,0.3809954349623177,3,1.0
155,AAACz,cytoplasm,-0.5503129549999852,-0.31609377436831154,-0.17075972468951894,2,1.0
156,AAADA,cytoskeleton,-0.5503129548723127,0.2171895306513869,0.07239868124122939,7,1.0
157,AAADB,cytoskeleton,-0.4316816921197046,0.4210716370285916,0.2859771483745672,2,3.0
158,AAADC,nucleus,-0.5449346701309661,0.08270106656752507,-0.24144819013733199,2,3.0
159,AAADD,cytoplasm,-0.5503129105997134,0.0010269615011077038,-0.401708374265328,9,3.0
160,AAADE,cytoplasm,8.141152703,0.8973985346820879,0.6161865143195886,3,1.0
161,AAADF,cytoplasm,-0.5503124619466091,-0.4240446667482522,0.10214187491726134,2,1.0
162,AAADG,cytoplasm,-0.5501014123645501,-0.07484261085039856,0.10185094021534424,5,1.0
163,AAADH,cytoplasm,-0.5503129550000001,-0.16544559032376693,0.32284643304780314,1,1.0
164,AAADI,mitochondria,-0.5502523490495758,0.6505182830463203,0.29720486941366264,1,1.0
165,AAADJ,cytoplasm,-0.5503112474845736,0.5385323061519707,0.03285162346017434,3,1.0
166,AAADK,cytoplasm,-0.5503129550000001,0.004532976682055878,0.6926078524658466,3,1.0
167,AAADL,nucleus,-0.5503129550000001,-0.524256537102,-0.6627887381397242,19,4.0
168,AAADM,cytoskeleton,-0.5503129549975532,0.2053098703986711,-0.0337331725750023,1,3.0
169,AAADN,cytoplasm,-0.5503096762601721,0.38985554118361687,0.023694350328193448,2,1.0
170,AAADO,cytoplasm,4.148305026625306,0.5023886350342601,0.4636465449678493,18,1.0
171,AAADP,cytoplasm,-0.5404771655769611,0.761129823487827,-0.04543449108696618,5,3.0
172,AAADQ,mitochondria,-0.5503129549991926,0.5473476957377732,-0.0901472396573606,2,1.0
173,AAADR,mitochondria,-0.5503129543747858,-0.6851276480601977,-0.15994953308613802,3,1.0
174,AAADS,plasma membrane,-0.5503129549999509,-0.3459804473570284,0.1269325920223907,8,1.0
175,AAADT,cytoskeleton,-0.5503129550000001,0.1953982987935432,0.04879312509940581,1,3.0
176,AAADU,cytoplasm,-0.5502972908426152,0.9973419762770936,0.4354877952502485,6,3.0
177,AAADV,peroxisome,1.0359074889162505,0.14147499456119927,0.5861179681919779,11,1.0
178,AAADW,golgi,-0.2819330386906873,0.6663775585391558,0.8861029734887462,10,1.0
179,AAADX,cytoskeleton,-0.5487100450247315,0.9439823695110134,0.14349578237969363,6,2.0
180,AAADY,golgi,-0.550276549063051,0.8457652551805335,0.6137610138211747,6,3.0
181,AAADZ,cytoplasm,-0.5501150474404923,0.21455880640092406,0.3480713077905624,8,1.0
182,AAADa,ER,-0.5503119614491435,0.7273259498690132,-0.21715377865658336,1,3.0
183,AAADb,mitochondria,-0.5503129542178995,0.6116629445107613,0.035080431106145005,15,1.0
184,AAADc,cytoskeleton,-0.27049094988638434,0.6097333288925135,0.018774638202370575,11,3.0
185,AAADd,transport vesicles,-0.2161581579327701,0.7471960951988006,0.44444464658324234,2,4.0
186,AAADe,nucleus,2.34059436375058,0.5115831175637058,0.4021936268960351,1,1.0
187,AAADf,nucleus,-0.5503129549999961,-0.7292836963102856,-0.18587396959428104,6,1.0
188,AAADg,cytoskeleton,-0.5503129550000001,-0.2523703800150525,0.09602680812808395,2,1.0
189,AAADh,plasma membrane,1.0312797055456953,0.9907306282208839,0.4909814520661899,5,3.0
190,AAADi,peroxisome,-0.5503129550000001,0.42277137051156544,-0.051871501918033136,1,1.0
191,AAADj,nucleus,-0.5503129549634389,-0.07460960491794733,-0.1848667899236378,19,2.0
192,AAADk,cytoplasm,-0.550218314957119,0.6484746771882326,0.20991732152971032,1,2.0
193,AAADl,cytoplasm,-0.46272832196354785,-0.1862661390083129,-0.44093451363761726,3,3.0
194,AAADm,nucleus,-0.5503129478864325,0.2883959368229252,-0.11395508108066466,2,1.0
195,AAADn,plasma membrane,-0.5503033952842107,-0.1831485395076663,-0.16355594553318342,2,1.0
196,AAADo,cytoplasm,-0.5243581283269169,-0.17632981584305119,0.30014956779170676,3,1.0
197,AAADp,cytoplasm,-0.5492279490743506,0.9525208642051783,-0.07161137594700118,1,3.0
198,AAADq,plasma membrane,8.141152703,0.8617870275314861,0.032793757055537,1,2.0
199,AAADr,cytoskeleton,-0.5502935093814705,0.9094815979640891,0.3042232627998085,4,2.0
200,AAADs,transport vesicles,-0.5490051579116724,-0.17956219438935106,-0.01915545366758664,2,1.0
201,AAADt,cytoskeleton,-0.5503129550000001,-0.36867691921911316,-0.5453058564325393,16,1.0
202,AAADu,plasma membrane,-0.5503072491226318,0.7535099769031539,0.8098817186459053,2,1.0
203,AAADv,cytoskeleton,-0.5503129550000001,-0.25416046581814544,0.03798496509221905,1,1.0
204,AAADw,ER,-0.5245182319745993,-0.31751979604168534,0.4587432333550918,1,1.0
205,AAADx,nucleus,-0.5494351529466134,0.9701173259011393,0.36312528770204944,4,1.0
206,AAADy,plasma membrane,-0.5503129138979906,-0.4407588549862033,-0.422463293958657,3,1.0
207,AAADz,nucleus,7.697791335846838,0.8162279152131706,0.6849442344498362,2,1.0
208,AAAEA,nucleus,-0.5494555429061632,0.8142907951616618,0.32546696582075807,2,1.0
209,AAAEB,plasma membrane,-0.5502283997499874,0.11337844432337207,0.3107768472281536,3,1.0
210,AAAEC,cytoskeleton,1.1015648318608824,0.9629200914263691,0.9519157778666845,5,2.0
211,AAAED,cytoplasm,-0.5503098937312456,0.2643362245438612,0.3109195603214632,11,1.0
212,AAAEE,cytoskeleton,-0.5500227108910237,-0.5955871414177607,-0.37748624296328637,4,1.0
213,AAAEF,golgi,-0.5503129436660501,-0.6556660641377903,-0.22845592855702845,8,1.0
214,AAAEG,peroxisome,-0.5494283156234165,0.7371939278781217,0.31318909325908173,2,1.0
215,AAAEH,plasma membrane,-0.4702816428855956,0.4945539896617914,0.18690929826748937,5,1.0
216,AAAEI,nucleus,-0.5503129550000001,0.9997122528085967,0.7277948549398991,2,6.0
217,AAAEJ,cytoskeleton,-0.5503129550000001,-0.22222773664054585,-0.39430148207950744,7,2.0
218,AAAEK,nucleus,1.1410266100537818,0.148858127680902,-0.04681875027932758,3,1.0
219,AAAEL,nucleus,-0.5503129550000001,0.965051949693873,0.8721410364139088,9,3.0
220,AAAEM,vacuole,-0.5162323317782119,-0.08978057868394596,0.04580117410503348,2,1.0
221,AAAEN,plasma membrane,-0.5503129550000001,0.6880543717984078,0.27214538506599295,1,1.0
222,AAAEO,mitochondria,-0.550312954726864,0.9557756416077392,0.017294190306511137,8,4.0
223,AAAEP,mitochondria,1.541891669532655,0.4360457138988467,0.2875731363168885,5,1.0
224,AAAEQ,mitochondria,-0.5503129549999992,-0.24721258655973644,-0.3447237840129411,8,4.0
225,AAAER,cytoskeleton,-0.5503113302371683,-0.03199827757303442,0.07978075005178353,1,1.0
226,AAAES,vacuole,-0.5503080666831475,0.457455234966301,0.05915339867351088,4,4.0
227,AAAET,nucleus,-0.5503129549872309,-0.4365191718190509,0.2888116615867924,4,1.0
228,AAAEU,cytoplasm,-0.5503129549999881,-0.08267010420642862,0.2644767663881997,2,1.0
229,AAAEV,mitochondria,8.141152703,0.8752688892508185,1.0,9,1.0
230,AAAEW,cytoskeleton,-0.5503129547970559,0.2618728898608338,0.4069925141856956,2,1.0
231,AAAEX,cytoplasm,-0.5503129550000001,0.8850661729281741,0.020002332349239538,10,2.0
232,AAAEY,transport vesicles,-0.5503129550000001,0.6485856471148004,0.1607244181282632,4,1.0
233,AAAEZ,mitochondria,-0.4539069245789106,0.4039961514956891,0.11419741999041921,1,2.0
234,AAAEa,cytoplasm,-0.5503128881119775,0.46452472563964986,0.30879935458919006,6,1.0
235,AAAEb,cytoplasm,-0.39606079794110693,0.952596327398334,0.1008664222980673,2,2.0
236,AAAEc,cytoplasm,-0.5503129549999998,0.9688984890268166,0.46686366094652065,4,1.0
237,AAAEd,cytoplasm,-0.5503128054145572,-0.8018553222775897,-0.7017515164499875,2,1.0
238,AAAEe,ER,-0.5503129549994643,-0.06691644494687943,0.4725069520239584,2,1.0
239,AAAEf,vacuole,-0.4859706139101537,0.31952915419791883,0.38885342427213665,4,1.0
240,AAAEg,vacuole,-0.5503129549981409,0.5473029036825714,0.5735129407796493,2,1.0
241,AAAEh,transport vesicles,-0.46867257887944475,-0.16687040123314834,0.07576687746304289,10,1.0
242,AAAEi,nucleus,-0.5503129549946252,-0.19662694212765097,-0.21678500244727283,9,2.0
243,AAAEj,cytoplasm,-0.5388072466176088,0.4579848351536093,0.6474541410258396,4,1.0
244,AAAEk,nucleus,-0.5503129549999942,-0.31625246754742453,0.15577208885419092,1,1.0
245,AAAEl,cytoplasm,-0.5495132594547935,0.4953904566842544,0.21713107505981633,1,1.0
246,AAAEm,cytoplasm,-0.057910617029707456,0.672721433818243,-0.12486571415836223,3,2.0
247,AAAEn,cytoplasm,-0.5427926363304479,0.4003765450995631,-0.15738051021124533,2,3.0
248,AAAEo,cytoskeleton,-0.5503129549999396,0.5437262143228705,0.45347542026919685,3,3.0
249,AAAEp,cytoplasm,-0.5503129549999984,0.7257521569654,0.18537141267950963,2,2.0
250,AAAEq,cytoplasm,-0.5503129549998551,0.8771325752679773,-0.06660419497235037,3,5.0
251,AAAEr,mitochondria,-0.5503129550000001,-0.03083643568736205,0.007449398079784508,12,1.0
252,AAAEs,cytoplasm,-0.5451347553443033,-0.737313269952524,-0.702252347355333,1,1.0
253,AAAEt,nucleus,-0.5503129550000001,-0.841155141618581,0.18786641460363862,3,1.0
254,AAAEu,nucleus,-0.5503129549999651,0.01645743685481682,0.001691651056484611,4,3.0
255,AAAEv,plasma membrane,-0.5503121941874508,-0.026213330541975055,-0.2062489650780004,6,1.0
256,AAAEw,peroxisome,-0.5055512020453314,0.3045202393291655,0.47939235349154163,3,1.0
257,AAAEx,plasma membrane,-0.5503129550000001,-0.08327326291092596,-0.3020635111689738,4,1.0
258,AAAEy,cytoplasm,-0.5503129485816125,0.10866627695858466,0.5288177690308551,3,1.0
259,AAAEz,cytoplasm,-0.5503129549217997,0.9464289192646791,0.40876615643159697,2,3.0
260,AAAFA,cytoskeleton,-0.5503129549419451,0.2786773378489382,-0.11825693354339584,1,2.0
261,AAAFB,mitochondria,-0.5503129550000001,0.9245078444814614,-0.14328836212119178,9,4.0
262,AAAFC,plasma membrane,-0.5503129441562167,0.20858624192467468,-0.3513527871754967,2,1.0
263,AAAFD,cytoplasm,-0.5502280057512915,0.033914879861736136,0.23964015926123272,13,1.0
264,AAAFE,cytoplasm,-0.549681972282703,0.31428677009709105,0.08536048948205521,1,1.0
265,AAAFF,cytoplasm,8.141152703,0.49211364522340983,0.011901827855237634,1,1.0
266,AAAFG,plasma membrane,-0.5503129548867906,0.8530591699077557,0.36023712664877783,8,1.0
267,AAAFH,cytoplasm,-0.5503129549999268,0.5287909357910101,0.20003446319067075,6,1.0
268,AAAFI,cytoskeleton,-0.5503129550000001,-0.1014789133619095,0.07569108330803775,3,1.0
269,AAAFJ,nucleus,-0.5503129549999992,-0.03879292801139245,-0.16002618885149245,4,6.0
270,AAAFK,cytoplasm,-0.5500181915054351,0.7610482244462575,-0.1677471007892981,5,4.0
271,AAAFL,nucleus,-0.53578573108044,0.9002496501382311,0.38231859234822707,1,2.0
272,AAAFM,cytoskeleton,4.9068093191655375,0.30928244480495803,0.16087699380708642,2,1.0
273,AAAFN,mitochondria,-0.5503129549999904,0.6188881053681401,0.23071575173670844,5,2.0
274,AAAFO,nucleus,-0.550312615578856,0.578764870023659,0.1126344082509001,1,1.0
275,AAAFP,vacuole,4.29456271106441,0.2830590329978311,0.01817046828724167,5,1.0
276,AAAFQ,nucleus,-0.5503107334892465,0.8790664468875058,0.7873657941791223,3,1.0
277,AAAFR,plasma membrane,-0.549367634023476,0.9605089104292877,0.350746011122292,2,1.0
278,AAAFS,cytoskeleton,-0.5503105928880729,0.5310792700514573,0.6061178813860093,3,1.0
279,AAAFT,peroxisome,-0.5503125094948238,-0.48516883808807654,0.6084113656992631,5,1.0
280,AAAFU,nucleus,-0.5467078271397389,0.9165563333772682,0.3376776070135996,6,2.0
281,AAAFV,integral membrane,-0.5498001741519786,-0.6254974354462393,-0.2743043923786568,1,1.0
282,AAAFW,cytoplasm,-0.5395399290380488,0.06541946854560277,0.40496170237745277,11,1.0
283,AAAFX,cytoplasm,-0.5497251262686418,0.6527678018989598,0.792530609646136,6,2.0
284,AAAFY,vacuole,-0.5503129550000001,-0.45757629343756673,-0.3404015835474514,2,2.0
285,AAAFZ,cytoskeleton,-0.5503129550000001,-0.05715456782250994,-0.21403323357001325,3,1.0
286,AAAFa,mitochondria,-0.5503129360562358,-0.11770720098075171,-0.1195707057643074,2,1.0
287,AAAFb,nucleus,-0.5503129549999997,0.15078836410819574,-0.18783851445570443,10,2.0
